datetime,ow_aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,day_of_week,is_weekend,aqi_change_rate,aqi_change_rate_pct,aqi_rolling_3h,aqi_rolling_24h,pm2_5_rolling_3h,pm2_5_rolling_24h,pm10_rolling_3h,pm10_rolling_24h,no2_rolling_3h,no2_rolling_24h,so2_rolling_3h,so2_rolling_24h,co_rolling_3h,co_rolling_24h,o3_rolling_3h,o3_rolling_24h,target_aqi,target_aqi_category
2025-08-11 11:00:00,2,75.2,0.01,0.04,35.74,0.33,11.53,49.81,0.0,2025,8,11,11,0,0,-1.0,-33.333333333333336,2.333333333333333,2.0588235294117645,11.616666666666667,9.498235294117649,49.623333333333335,37.25529411764706,0.04,0.0552941176470588,0.33,0.3041176470588235,76.71,76.8329411764706,36.15,38.77235294117647,2,1
2025-08-11 12:00:00,2,73.71,0.01,0.05,35.8,0.34,11.15,48.74,0.0,2025,8,11,12,0,0,0.0,0.0,2.333333333333333,2.055555555555556,11.466666666666669,9.59,49.54,37.89333333333334,0.0433333333333333,0.055,0.3333333333333333,0.3061111111111111,75.25,76.65944444444443,35.85,38.60722222222223,2,1
2025-08-11 13:00:00,2,73.28,0.0,0.07,36.29,0.35,10.65,46.97,0.0,2025,8,11,13,0,0,0.0,0.0,2.0,2.0526315789473686,11.11,9.64578947368421,48.50666666666667,38.37105263157895,0.0533333333333333,0.0557894736842105,0.34,0.308421052631579,74.06333333333333,76.48157894736842,35.94333333333333,38.485263157894735,2,1
2025-08-11 14:00:00,2,73.82,0.0,0.08,36.85,0.35,10.12,44.73,0.0,2025,8,11,14,0,0,0.0,0.0,2.0,2.05,10.64,9.6695,46.81333333333333,38.689,0.0666666666666666,0.057,0.3466666666666667,0.3105,73.60333333333334,76.3485,36.31333333333333,38.4035,2,1
2025-08-11 15:00:00,2,74.7,0.0,0.08,37.24,0.35,9.65,42.63,0.0,2025,8,11,15,0,0,0.0,0.0,2.0,2.0476190476190474,10.14,9.668571428571427,44.77666666666666,38.876666666666665,0.0766666666666666,0.058095238095238,0.35,0.3123809523809523,73.93333333333334,76.27000000000001,36.79333333333333,38.34809523809524,2,1
2025-08-11 16:00:00,2,75.57,0.0,0.08,37.46,0.35,9.26,40.87,0.0,2025,8,11,16,0,0,0.0,0.0,2.0,2.0454545454545454,9.676666666666668,9.65,42.74333333333333,38.96727272727273,0.08,0.059090909090909,0.35,0.3140909090909091,74.69666666666666,76.23818181818181,37.18333333333334,38.30772727272727,2,1
2025-08-11 17:00:00,2,76.24,0.0,0.08,37.53,0.35,9.23,40.79,0.0,2025,8,11,17,0,0,0.0,0.0,2.0,2.0434782608695654,9.38,9.631739130434784,41.43,39.046521739130434,0.08,0.06,0.35,0.3156521739130434,75.50333333333333,76.23826086956522,37.41,38.27391304347826,2,1
2025-08-11 18:00:00,2,76.46,0.0,0.08,37.48,0.36,9.57,42.82,0.0,2025,8,11,18,0,0,0.0,0.0,2.0,2.0416666666666665,9.353333333333332,9.629166666666666,41.49333333333333,39.20375,0.08,0.0608333333333333,0.3533333333333333,0.3175,76.08999999999999,76.2475,37.49,38.240833333333335,2,1
2025-08-11 19:00:00,2,75.93,0.0,0.08,37.2,0.38,10.25,45.02,0.0,2025,8,11,19,0,0,0.0,0.0,2.0,2.0416666666666665,9.683333333333334,9.673333333333334,42.876666666666665,39.522083333333335,0.08,0.06125,0.3633333333333333,0.3208333333333333,76.21,76.38291666666666,37.403333333333336,38.18833333333333,2,1
2025-08-11 20:00:00,2,75.34,0.0,0.08,36.87,0.4,11.07,47.55,0.0,2025,8,11,20,0,0,0.0,0.0,2.0,2.0416666666666665,10.296666666666669,9.771666666666668,45.13,40.01291666666667,0.08,0.0616666666666666,0.38,0.325,75.91,76.48125,37.18333333333333,38.11208333333334,2,1
